时间,汕尾风速,风速1,风速2,风速3,风速4,汕尾风向,风向1,风向2,风向3,风向4,汕尾波高,波高1,波高2,波高3,波高4,波浪方向,方向1,方向2,方向3,方向4,波浪周期,周期1,周期2,周期3,周期4
1995/9/1 0:00,5.69562675,5.69562675,5.69562675,5.69562675,5.69562675,132.9485151,135.2820674,133.6010672,133.7658712,131.3542402,1.996080118,1.693646226,1.46760214,2.146101054,2.140417869,147.077367,149.4881185,150.2736834,146.4722083,145.7800322,6.808128126,6.340849233,6.159879271,6.159879271,6.159879271
1995/9/1 3:00,6.379662012,6.379662012,6.379662012,6.379662012,6.379662012,135.3755214,135.3040413,133.3593548,136.5071101,135.1392374,1.872027611,1.596482102,1.37245463,2.019237706,2.000904853,147.7576941,148.5762039,149.5155858,147.1643844,147.4115902,6.73736424,6.317244456,6.175231972,6.175231972,6.175231972
1995/9/1 6:00,6.322850358,6.322850358,6.322850358,6.322850358,6.322850358,137.8650634,139.001143,137.8255416,138.4737704,137.0344827,1.783681508,1.557066466,1.311772884,1.93985645,1.881191319,148.3966246,147.504979,148.4333739,147.922482,149.0431481,6.598550296,6.154697734,6.043198744,6.043198744,6.043198744
1995/9/1 9:00,6.511648682,6.511648682,6.511648682,6.511648682,6.511648682,139.4303825,139.8141758,137.913437,140.5008589,138.9407149,1.709064778,1.540933555,1.281157019,1.869824949,1.770460883,149.5612252,147.147904,147.6752763,149.41121,151.042768,6.489425645,6.007311805,5.884682107,5.884682107,5.884682107
1995/9/1 12:00,4.779754034,4.779754034,4.779754034,4.779754034,4.779754034,137.518477,140.0503948,136.4247081,139.4516071,135.5292733,1.610383583,1.488318265,1.243208012,1.759827827,1.646897449,151.6037589,148.2465963,148.3564655,151.7569179,153.5752535,6.501214947,5.993878192,5.863764052,5.863764052,5.863764052
1995/9/1 15:00,3.594169427,3.594169427,3.594169427,3.594169427,3.594169427,133.4586665,138.6880156,134.4086066,135.5897015,129.8105766,1.507452361,1.400503896,1.188026122,1.636997708,1.539833584,153.818704,150.053945,149.9550627,154.1191062,155.9978699,6.534079225,6.057591901,5.927669669,5.927669669,5.927669669
1995/9/1 18:00,3.289452377,3.289452377,3.289452377,3.289452377,3.289452377,116.8870183,125.1081708,120.6859317,118.8730884,111.5063522,1.413884879,1.311406227,1.129360991,1.525533958,1.447985987,155.6790399,151.8063591,151.7569179,155.9539222,157.9315682,6.531598053,6.101347099,5.961829429,5.961829429,5.961829429
1995/9/1 21:00,3.654998066,3.654998066,3.654998066,3.654998066,3.654998066,96.51665183,105.1943613,102.9914819,97.20686362,91.16954591,1.32667361,1.2283584,1.069412559,1.424886591,1.361454918,157.1038686,152.9270251,153.0368944,157.3108071,159.5521393,6.511121542,6.10422573,5.946668637,5.946668637,5.946668637
1995/9/2 0:00,4.383794025,4.383794025,4.383794025,4.383794025,4.383794025,91.93138112,98.44838664,96.98163156,92.35064082,87.93389521,1.259906394,1.165293384,1.010747428,1.355221748,1.293256702,157.0094426,152.5974175,153.7180835,156.6460983,159.7389169,6.408811729,6.030916583,5.911549333,5.911549333,5.911549333
1995/9/2 3:00,4.247216514,4.247216514,4.247216514,4.247216514,4.247216514,104.3551634,116.362575,119.2686178,101.9477237,97.72874276,1.189602057,1.102045039,0.958498795,1.278223762,1.220291945,157.2272383,152.4545875,153.937822,156.6790591,160.2168481,6.346556147,5.965091878,5.837088734,5.837088734,5.837088734
