时间,汕尾风速,风速1,风速2,风速3,风速4,汕尾风向,风向1,风向2,风向3,风向4,汕尾波高,波高1,波高2,波高3,波高4,波浪方向,方向1,方向2,方向3,方向4,波浪周期,周期1,周期2,周期3,周期4
1995/8/1 0:00,7.099550788,7.099550788,7.099550788,7.099550788,7.099550788,211.920132,214.788963,217.2884891,210.2898159,210.6029434,2.394222316,1.949088361,1.633765449,2.605082264,2.609037284,190.200278,192.578457,190.8040739,191.0732527,188.5627478,7.405070836,6.740484938,6.493990796,6.493990796,6.493990796
1995/8/1 3:00,6.861764302,6.861764302,6.861764302,6.861764302,6.861764302,215.9848145,218.2553388,221.0350316,214.2286297,215.0581427,2.182919246,1.800235812,1.534530417,2.361129476,2.36832042,190.2742799,192.5125357,190.3261441,191.3863792,188.6671233,7.323710204,6.700196148,6.489046263,6.489046263,6.489046263
1995/8/1 6:00,6.381047861,6.381047861,6.381047861,6.381047861,6.381047861,216.5108662,217.6510578,218.8925806,215.7228519,216.0194989,2.00490016,1.661270812,1.416958476,2.168232392,2.170569449,190.8760028,192.4905619,189.6449567,192.4136536,189.5350878,7.168316424,6.614857166,6.460477848,6.460477848,6.460477848
1995/8/1 9:00,6.201026478,6.201026478,6.201026478,6.201026478,6.201026478,212.7998149,211.8609467,211.1358094,213.2782604,213.2452996,1.86533568,1.557181892,1.316824575,2.024053957,2.010930483,191.9428903,192.9465179,189.364791,193.9518186,190.8480214,6.958565901,6.453335745,6.353895686,6.353895686,6.353895686
1995/8/1 12:00,5.651466695,5.651466695,5.651466695,5.651466695,5.651466695,205.5695101,203.8130218,204.1316427,205.4940218,206.6421558,1.740463202,1.461182784,1.233948941,1.88976307,1.871066615,192.4536338,192.8805966,189.1450531,194.5835649,191.6775318,6.766184198,6.311775587,6.228451045,6.228451045,6.228451045
1995/8/1 15:00,5.013281,5.013281,5.013281,5.013281,5.013281,205.791028,205.7247473,208.7955937,204.0217735,206.2631068,1.610235211,1.356015222,1.157185609,1.741449842,1.730303878,192.1472917,192.171942,188.700084,194.1550761,191.6390777,6.63758158,6.228634176,6.134321781,6.134321781,6.134321781
1995/8/1 18:00,5.334154278,5.334154278,5.334154278,5.334154278,5.334154278,207.3249706,210.1140251,214.0033976,204.8952342,206.2521199,1.501687485,1.274398003,1.088152543,1.624057675,1.607698276,191.7787312,191.7928942,188.3594903,193.7650414,191.2820037,6.49001872,6.111064162,6.040009387,6.040009387,6.040009387
1995/8/1 21:00,5.684701411,5.684701411,5.684701411,5.684701411,5.684701411,211.2654799,216.3271329,221.9359597,207.6804205,209.1252016,1.447352597,1.233050073,1.037995706,1.573721064,1.544777513,191.8637008,192.1115141,188.5682412,193.8913907,191.2215758,6.245579962,5.91969241,5.893504696,5.893504696,5.893504696
1995/8/2 0:00,5.120502527,5.120502527,5.120502527,5.120502527,5.120502527,209.4386277,214.3439924,219.0024499,206.4224172,207.2464369,1.423839735,1.189724633,0.997906191,1.549811174,1.533092228,192.1350869,192.6663522,188.9912366,194.2264909,191.3039775,6.048104295,5.795529685,5.77117328,5.77117328,5.77117328
1995/8/2 3:00,5.376884629,5.376884629,5.376884629,5.376884629,5.376884629,203.421922,210.2458682,214.4978094,200.5279303,200.0445055,1.366136743,1.130039794,0.959254865,1.479879239,1.479699466,191.5173982,192.4960553,188.9527825,193.5068494,190.4415064,5.952200901,5.723192994,5.677959671,5.677959671,5.677959671
1995/8/2 6:00,5.737718698,5.737718698,5.737718698,5.737718698,5.737718698,194.9537261,199.0282146,200.4729957,193.8643584,192.7766526,1.335455385,1.093365978,0.925996747,1.447699763,1.452913198,190.3012011,191.8478287,188.3814641,192.1994092,188.9143284,5.818985405,5.60360854,5.575589518,5.575589518,5.575589518
1995/8/2 9:00,6.428130377,6.428130377,6.428130377,6.428130377,6.428130377,187.4804836,187.8819761,188.9586951,186.8327245,187.3985513,1.342444061,1.090130053,0.916828293,1.458845727,1.46495803,188.7804071,190.4909474,187.5409668,190.3700916,187.37067,5.650147365,5.425788472,5.401065806,5.401065806,5.401065806
1995/8/2 12:00,6.794503565,6.794503565,6.794503565,6.794503565,6.794503565,185.957932,186.7997637,189.9749859,184.0640186,185.9208094,1.401920242,1.122309529,0.93660339,1.527159699,1.53866521,187.0405921,188.2990624,186.4312907,188.0408704,186.041256,5.508542518,5.249616582,5.207130222,5.207130222,5.207130222
1995/8/2 15:00,6.984020582,6.984020582,6.984020582,6.984020582,6.984020582,186.6835487,185.5966951,189.7717277,184.3386918,187.9094434,1.421066514,1.158444025,0.971839018,1.545676381,1.547833664,185.910022,186.4093169,185.2062521,186.5741203,185.4479638,5.451272087,5.175082321,5.102562499,5.102562499,5.102562499
1995/8/2 18:00,6.705086351,6.705086351,6.705086351,6.705086351,6.705086351,184.2558333,184.8935317,191.40878,180.4438258,184.8111297,1.386900641,1.149455344,0.979029962,1.500553204,1.501272299,184.8408776,184.711842,183.9207857,185.3051342,184.8052306,5.469068764,5.210060316,5.148345215,5.148345215,5.148345215
1995/8/2 21:00,6.840003475,6.840003475,6.840003475,6.840003475,6.840003475,181.4020986,188.2390513,195.7705905,176.6533356,178.4442049,1.350721708,1.170309083,0.99089502,1.465856898,1.43062127,183.1851738,183.2670656,183.3879214,183.1132491,183.1517032,5.423540249,5.175997975,5.132046568,5.132046568,5.132046568
1995/8/3 0:00,6.186387376,6.186387376,6.186387376,6.186387376,6.186387376,174.0084092,183.2674663,189.963999,169.6271951,169.484365,1.311816918,1.162758591,0.981007472,1.426306704,1.373093715,180.2340596,181.4432415,182.4045945,179.602937,179.6633649,5.413394546,5.227640878,5.207130222,5.207130222,5.207130222
