IN,OUT,No,R2,MSE,MAE
14,6,6,0.809131259,0.058157435,0.15635086
14,7,1,0.996911877,0.000945659,0.019651671
14,7,2,0.982682693,0.0052982,0.047601762
14,7,3,0.955079329,0.013730926,0.076183577
14,7,4,0.916315309,0.025556802,0.103542344
14,7,5,0.866331222,0.040785132,0.131123704
14,7,6,0.80913378,0.058185675,0.156386654
14,7,7,0.749965413,0.076155106,0.17969223
15,1,1,0.996892389,0.000946885,0.019681437
15,2,1,0.996895684,0.00094673,0.019672123
15,2,2,0.982647874,0.005287168,0.04761017
15,3,1,0.996898981,0.000946564,0.019662725
15,3,2,0.982669808,0.005285227,0.047577426
15,3,3,0.954962092,0.013722987,0.076233082
15,4,1,0.996901703,0.000946566,0.019663749
15,4,2,0.982686575,0.005284799,0.047562626
15,4,3,0.95501344,0.013719652,0.076189823
15,4,4,0.916269699,0.025512504,0.103440236
15,5,1,0.996905163,0.000946338,0.019655404
15,5,2,0.982700705,0.00528514,0.04754713
15,5,3,0.955048639,0.013721082,0.076160795
15,5,4,0.916396755,0.025496668,0.103363855
15,5,5,0.86635815,0.040720483,0.130972322
15,6,1,0.996907461,0.000946157,0.019646317
15,6,2,0.982706373,0.005286152,0.047540412
15,6,3,0.955054739,0.013726013,0.076163506
15,6,4,0.916396083,0.025509299,0.103389545
15,6,5,0.866349206,0.04074352,0.131035093
15,6,6,0.808701208,0.058265458,0.156503696
15,7,1,0.99691134,0.000945823,0.019633756
15,7,2,0.982732902,0.005282838,0.047494997
15,7,3,0.955122756,0.013717652,0.076108282
15,7,4,0.916494422,0.025502102,0.103320811
15,7,5,0.866529366,0.040724674,0.130956763
15,7,6,0.808944576,0.058243354,0.156433403
15,7,7,0.74994613,0.076160979,0.179625957
16,1,1,0.996896489,0.000945635,0.019659745
16,2,1,0.996899844,0.000945462,0.019650063
16,2,2,0.982708178,0.005268794,0.047462298
16,3,1,0.996903164,0.000945287,0.019640354
16,3,2,0.982730209,0.005266807,0.047429018
16,3,3,0.955064191,0.013691877,0.076071029
16,4,1,0.996905883,0.000945289,0.019641418
16,4,2,0.982746972,0.005266363,0.04741312
16,4,3,0.955115615,0.013688491,0.076029049
16,4,4,0.91632581,0.025495407,0.103451667
16,5,1,0.996906565,0.000945572,0.019640502
16,5,2,0.982749124,0.005268314,0.047415592
16,5,3,0.955123078,0.013692885,0.076028202
16,5,4,0.916353346,0.02549973,0.103434225
16,5,5,0.866191763,0.040755083,0.131073061
16,6,1,0.996911538,0.000944909,0.019623977
16,6,2,0.982768186,0.005267258,0.047391571
16,6,3,0.955167278,0.013691644,0.076001346
16,6,4,0.916443031,0.025494974,0.103400506
16,6,5,0.866311831,0.040754914,0.131065625
16,6,6,0.808907815,0.05820253,0.156521321
16,7,1,0.996915389,0.000944583,0.019611442
16,7,2,0.982795663,0.005263637,0.047348177
16,7,3,0.955223809,0.013686763,0.075949577
16,7,4,0.916518933,0.025494617,0.103353505
16,7,5,0.866458772,0.040746214,0.130997852
16,7,6,0.809078698,0.058202466,0.156485002
16,7,7,0.749763175,0.076216703,0.179742252
16,8,1,0.996920075,0.000943983,0.01959414
16,8,2,0.982816421,0.005262033,0.047320007
16,8,3,0.955265243,0.01368652,0.075941503
16,8,4,0.916596357,0.025494037,0.103363544
16,8,5,0.866586613,0.040743647,0.130993585
16,8,6,0.809267112,0.058196583,0.156472833
16,8,7,0.749927857,0.076234634,0.179726876
16,8,8,0.689526583,0.094563461,0.20157554
17,1,1,0.996902721,0.000943737,0.019664899
17,2,1,0.996906088,0.000943557,0.019655045
17,2,2,0.982715263,0.005266635,0.047588544
17,3,1,0.996907608,0.00094393,0.019658199
17,3,2,0.982737396,0.005264615,0.047555251
17,3,3,0.955167663,0.01366035,0.076072199
17,4,1,0.996907371,0.00094447,0.019669198
17,4,2,0.982737351,0.005267194,0.04756673
17,4,3,0.955175503,0.013664773,0.076071671
17,4,4,0.916439342,0.025450762,0.103446536
17,5,1,0.996910988,0.00094422,0.019657949
17,5,2,0.982757109,0.005265876,0.047537093
17,5,3,0.955225898,0.013661513,0.076031085
17,5,4,0.916546583,0.025440821,0.103375829
17,5,5,0.866643374,0.040617533,0.130890815
17,6,1,0.996915878,0.000943582,0.019641291
17,6,2,0.982783893,0.005262457,0.047496684
17,6,3,0.955288649,0.013654578,0.075987436
17,6,4,0.91662624,0.025439073,0.103349093
17,6,5,0.866763098,0.040617345,0.130881837
17,6,6,0.809193291,0.05811558,0.156340959
17,7,1,0.996919642,0.000943281,0.01962936
17,7,2,0.982819286,0.005256409,0.047444818
17,7,3,0.955351075,0.013647861,0.075925012
17,7,4,0.916720243,0.025433138,0.103272284
17,7,5,0.866894782,0.040613178,0.130818012
17,7,6,0.809390546,0.0581074,0.156299648
17,7,7,0.749921886,0.076168363,0.179796966
17,8,1,0.99692424,0.000942707,0.019612029
17,8,2,0.982831635,0.005257374,0.047425866
17,8,3,0.955399933,0.013645312,0.075913999
17,8,4,0.916795173,0.025433265,0.103285781
17,8,5,0.867035847,0.040606454,0.130818744
17,8,6,0.809600554,0.058094842,0.156280389
17,8,7,0.750120285,0.076175972,0.179793792
17,8,8,0.689496035,0.094572766,0.201572572
18,1,1,0.996941109,0.00093204,0.019562626
18,2,1,0.996944374,0.000931881,0.019553602
18,2,2,0.982842099,0.005227988,0.047339305
18,3,1,0.996944697,0.000932237,0.019554717
18,3,2,0.982847343,0.005228997,0.047332714
18,3,3,0.955170347,0.013654139,0.07599413
18,4,1,0.996947434,0.000932235,0.01955421
18,4,2,0.982863648,0.005228658,0.047319074
18,4,3,0.955220835,0.013650954,0.075952896
