IN,OUT,No,R2,MSE,MAE
14,6,6,0.802381016,0.060214225,0.159480069
14,7,1,0.996894874,0.000950866,0.019661436
14,7,2,0.982464873,0.005364841,0.047968334
14,7,3,0.953852692,0.014105873,0.077297105
14,7,4,0.913484971,0.02642117,0.105488068
14,7,5,0.86147494,0.042266885,0.133653054
14,7,6,0.80237565,0.060245894,0.159531439
14,7,7,0.738800978,0.079555551,0.183568184
15,1,1,0.996880813,0.000950412,0.019681196
15,2,1,0.996882552,0.000950735,0.019674384
15,2,2,0.982416643,0.005357624,0.047900625
15,3,1,0.996886652,0.000950327,0.019664172
15,3,2,0.982447845,0.00535292,0.047851726
15,3,3,0.953730968,0.014098109,0.077217876
15,4,1,0.996887143,0.000951015,0.019669192
15,4,2,0.982462415,0.005353222,0.047848787
15,4,3,0.953782743,0.01409498,0.077192081
15,4,4,0.913352567,0.02640135,0.10541084
15,5,1,0.996890516,0.000950817,0.019666303
15,5,2,0.982470161,0.005355574,0.047852203
15,5,3,0.953833524,0.014091986,0.077167699
15,5,4,0.913458664,0.026392704,0.105357785
15,5,5,0.86110903,0.042319882,0.133706407
15,6,1,0.996891617,0.000951004,0.019663269
15,6,2,0.982472026,0.005357785,0.047857499
15,6,3,0.953833361,0.014099014,0.077187525
15,6,4,0.913452547,0.026407433,0.10540351
15,6,5,0.861099431,0.042343917,0.133772866
15,6,6,0.802059351,0.060288424,0.159520173
15,7,1,0.996897373,0.0009501,0.019648925
15,7,2,0.9825024,0.00535336,0.047816498
15,7,3,0.953879553,0.014097662,0.077151958
15,7,4,0.913548923,0.02640164,0.10535217
15,7,5,0.861259629,0.042332581,0.133732739
15,7,6,0.802272051,0.060277477,0.159502146
15,7,7,0.738646338,0.079602651,0.183594205
16,1,1,0.996885495,0.000948985,0.019651756
16,2,1,0.99689002,0.000948458,0.019635364
16,2,2,0.982456736,0.005345408,0.04780896
16,3,1,0.99689181,0.000948753,0.019636956
16,3,2,0.982476916,0.005344054,0.047780078
16,3,3,0.953805053,0.014075535,0.07710894
16,4,1,0.996894547,0.000948753,0.019634327
16,4,2,0.982497181,0.00534261,0.047776945
16,4,3,0.953837476,0.014078288,0.077098883
16,4,4,0.913372902,0.026395154,0.105338497
16,5,1,0.996895089,0.00094908,0.019634448
16,5,2,0.982499037,0.005344689,0.047780628
16,5,3,0.953843595,0.014083282,0.077101151
16,5,4,0.913395781,0.026401345,0.105327366
16,5,5,0.861481661,0.042189678,0.13344092
16,6,1,0.996902047,0.000947813,0.019616166
16,6,2,0.982513582,0.005345083,0.047771895
16,6,3,0.953931384,0.014069079,0.077055209
16,6,4,0.913483915,0.026397862,0.105322433
16,6,5,0.861535724,0.042210913,0.133480292
16,6,6,0.802370396,0.060193686,0.159390389
16,7,1,0.996901436,0.000948856,0.019619225
16,7,2,0.982536969,0.005342783,0.047739302
16,7,3,0.953971842,0.014069452,0.077025929
16,7,4,0.913575757,0.026393445,0.105280531
16,7,5,0.861697497,0.042198978,0.133444198
16,7,6,0.80259291,0.060179663,0.159390255
16,7,7,0.738522596,0.07964034,0.183652085
16,8,1,0.996906678,0.000948089,0.019604844
16,8,2,0.982557114,0.005341439,0.047719767
16,8,3,0.954002204,0.014072944,0.077020439
16,8,4,0.913652151,0.026393994,0.105279392
16,8,5,0.861811536,0.042201927,0.133456273
16,8,6,0.802707835,0.060197955,0.159402148
16,8,7,0.738771931,0.079635524,0.1836425
16,8,8,0.673342707,0.099492719,0.206394044
17,1,1,0.996900944,0.000944278,0.019584315
17,2,1,0.996905354,0.000943781,0.019567989
17,2,2,0.982516922,0.005327069,0.047773926
17,3,1,0.996908458,0.000943671,0.019560548
17,3,2,0.982536993,0.005325732,0.047745119
17,3,3,0.953839066,0.014065171,0.07709682
17,4,1,0.996908284,0.000944192,0.019568425
17,4,2,0.982536305,0.005328537,0.047760683
17,4,3,0.953843672,0.014070782,0.0771036
17,4,4,0.913448736,0.026361636,0.105296808
