时间,汕尾风速,风速1,风速2,风速3,风速4,汕尾风向,风向1,风向2,风向3,风向4,汕尾波高,波高1,波高2,波高3,波高4,波浪方向,方向1,方向2,方向3,方向4,波浪周期,周期1,周期2,周期3,周期4,横向风速,纵向风速,前一小时潮水位,该时刻潮水位,后一小时潮水位
1993/10/23 18:00,4.432700444,4.432700444,4.432700444,4.432700444,4.432700444,55.96348601,55.16538976,52.62740922,57.85169384,56.63214475,0.993660188,0.9656724640000001,0.630595794,1.223099126,1.013444101,75.27848847,77.9631037,82.6600053,71.44786945,72.99702295,5.285982724,5.281815292,5.00610711,5.469831429,5.285659828,3.673294798633148,2.481076086816456,1620,1640,1780
1993/10/23 21:00,4.605774625,4.605774625,4.605774625,4.605774625,4.605774625,50.87512568,50.08393521,46.52966375,53.43494848,51.52322287,0.995014955,0.96010192,0.6351535110000001,1.219554234,1.021040297,76.45143994,79.58916554,84.42889689,72.40922357,73.77159971,5.317575382,5.313853095,5.028075889,5.507910647,5.316782266000001,3.5730334477896797,2.906302096697809,1810,1710,1560
1993/10/24 0:00,5.280847948,5.280847948,5.280847948,5.280847948,5.280847948,46.69575931,46.35387289,42.48647396,49.34781098,46.94167358,1.012402744,0.961958768,0.645112969,1.235759454,1.0521003009999998,76.30673415,80.02864171,84.80794509,72.15103132,73.11238545,5.32823468,5.330146607,5.028075889,5.527865622,5.322274461,3.842989206662211,3.621986886692656,1390,1190,1080
1993/10/24 3:00,6.483545474,6.483545474,6.483545474,6.483545474,6.483545474,55.96377279,57.60998141,57.68139645,55.484010700000006,54.51716096,1.076214049,1.0131064920000001,0.6992991709999999,1.300749135,1.127218245,74.22113863,77.79280669,81.38552440000001,70.89303078,71.14023613,5.198796417,5.1650146139999995,4.789714632,5.456467087999999,5.223048807,5.372809347780062,3.628950485447971,1020,1050,1100
1993/10/24 6:00,6.1613418410000005,6.1613418410000005,6.1613418410000005,6.1613418410000005,6.1613418410000005,64.09063593,66.10287735,67.9926291,62.30689346,62.35084117,1.113660586,1.0534507359999998,0.735760915,1.340080553,1.161991945,74.88777469,77.83126085,80.73180359,72.18399203,72.34879559999999,5.231681737,5.172520614,4.784405511,5.50461533,5.277970755,5.5420430607551365,2.692190928294855,1050,1020,1170
1993/10/24 9:00,5.1779276219999995,5.1779276219999995,5.1779276219999995,5.1779276219999995,5.1779276219999995,69.4922179,72.19512935,74.80452493,67.04775322,67.15762251,1.127833422,1.068474325,0.7367737409999999,1.363375556,1.175158685,77.50190467,80.3747292,83.4400755,74.71098003,75.0241068,5.352051338,5.306164022,4.959606527,5.593955032999999,5.387265433,4.849774461817654,1.8140072017971294,1380,1520,1570
1993/10/24 12:00,5.240099901000001,5.240099901000001,5.240099901000001,5.240099901000001,5.240099901000001,70.36422202,73.77175363,75.47472759,68.33871735,67.39384148,1.1433568159999998,1.080797044,0.737280154,1.387683385,1.193220753,79.97637309,82.99510588,86.30216408,76.98526922,77.37530432,5.460892651,5.428090748,5.120893982,5.673225712000001,5.485209575,4.935376556009645,1.760881944609175,1610,1560,1470
1993/10/24 15:00,5.582467516,5.582467516,5.582467516,5.582467516,5.582467516,75.28790436,80.74845340000002,82.70412672,72.56319146,70.50863578,1.168482037,1.102235198,0.753654178,1.416886541,1.221748691,82.01870308,85.47814625,88.80168481,78.90248402,79.02883342,5.510377371000001,5.485026502,5.1897294910000005,5.712952587999999,5.5282317679999995,5.399441633131158,1.4177353834919812,1470,1570,1660
1993/10/24 18:00,5.416534746,5.416534746,5.416534746,5.416534746,5.416534746,78.42844802,84.13242746,84.57739807,76.63384857,73.42017191,1.167849191,1.1086497640000001,0.7707034190000001,1.407433496,1.214996516,84.58759999,88.23036578,91.39459423,81.53384761,81.42947201,5.574072237999999,5.55038362,5.253805098,5.777028195,5.590476643,5.306443495152504,1.0865109697462634,1700,1660,1690
1993/10/24 21:00,5.23295849,5.23295849,5.23295849,5.23295849,5.23295849,73.64120884,78.85320818,77.2930643,73.29931569,69.04188079,1.151793495,1.105273677,0.779818855,1.37974958,1.187987817,87.04918711,90.72988651,94.01497090000001,83.90152548,83.86307132,5.632493107,5.606953227000001,5.313670022,5.833414728999999,5.650890786000001,5.021111557796651,1.4738701714275788,1760,1810,1710
