IN,OUT,No,R2,MSE,MAE
18,1,1,0.9932849669046119,0.0016898354644428331,0.029863617390126884
18,2,1,0.991861813112111,0.0020514337320318744,0.03140300890852857
18,2,2,0.9633349691439591,0.009226740742049516,0.0705017747088061
18,3,1,0.9922228091479861,0.001960253884010962,0.03241942009496531
18,3,2,0.9630228385349121,0.009305055480681721,0.07080018600661403
18,3,3,0.91227734485572,0.022037910457227153,0.1096781081960276
18,4,1,0.9869455696034929,0.0032959272865318444,0.04090953776747104
18,4,2,0.9591919638126338,0.010285733365335926,0.07483135171214444
18,4,3,0.9044465344999973,0.024045390793136147,0.11392463365179432
18,4,4,0.8309063402995989,0.04248014296002832,0.15049760047647107
18,5,1,0.9905382652511162,0.002393071529826787,0.03458374150758564
18,5,2,0.965269450044429,0.008768622130418813,0.06995428687339884
18,5,3,0.9129787154716723,0.021933859440276628,0.1096726357282363
18,5,4,0.8500591156058466,0.0377316211637114,0.146006844584745
18,5,5,0.7712472278510537,0.05746785823080137,0.17788131204968116
18,6,1,0.9855957024162595,0.0036499288417211175,0.046643963006334596
18,6,2,0.9554383724151784,0.011270571953896842,0.07795368683820499
18,6,3,0.9052369202999877,0.023925380936010182,0.11429544305451703
18,6,4,0.8294320909639383,0.04299192504565942,0.15122847259943828
18,6,5,0.7376036718838332,0.06603028178226597,0.18663404441760728
18,6,6,0.6497599502012543,0.08798820376907875,0.21606212076366615
18,7,1,0.974861884094806,0.006382561514885994,0.05673287334819167
18,7,2,0.947769440552363,0.013234788037311202,0.08690345970830265
18,7,3,0.8979159376798201,0.02581920437119692,0.11947257534854996
18,7,4,0.8152844684937368,0.04663619491974326,0.15810111244914227
18,7,5,0.720297708682699,0.07049942753809728,0.19181428681449098
18,7,6,0.6130025886271757,0.09738531139293288,0.2235339712355152
18,7,7,0.49634205207277593,0.1265302416945218,0.254245779861079
18,8,1,0.9849029177217754,0.0038408280383537903,0.04274758035652464
18,8,2,0.9556475317383686,0.011261080905367335,0.07687362944984659
18,8,3,0.8854612456834208,0.02902316481900465,0.12370042508861222
18,8,4,0.7981718481873433,0.05104658044629779,0.16447319430860488
18,8,5,0.719952949162665,0.07070509308583166,0.19254452470672578
18,8,6,0.5860951962142691,0.10432539392056661,0.23178389087254456
18,8,7,0.5088989477951211,0.12358229664821872,0.25063682993835784
18,8,8,0.42570077096473913,0.14427692554810825,0.2704098058615144
19,1,1,0.9926614533061687,0.0018467424187712108,0.030821815015711955
19,2,1,0.9924338073355382,0.0019039818020324785,0.030527870970873033
19,2,2,0.9654197927409214,0.008687328375030643,0.06896044529374416
19,3,1,0.9911426572514721,0.002232507965304998,0.032635393379708014
19,3,2,0.9627817492755546,0.009365723981054223,0.07059536712149829
19,3,3,0.9125384945495939,0.02197230376121391,0.10938596047612462
19,4,1,0.9850349174990428,0.0037783206361345677,0.038484393052366415
19,4,2,0.9606147253397751,0.009927123957045803,0.07215118974201194
19,4,3,0.9081775545887263,0.023106504530653847,0.1121187773508823
19,4,4,0.8340602911721835,0.04168779933109694,0.14922394824019292
19,5,1,0.9880506314570049,0.003022246387008781,0.035892280499799194
19,5,2,0.9636994573473391,0.0091650072359213,0.06991869799092879
19,5,3,0.9093808167340143,0.022840715798693737,0.11107503091789377
19,5,4,0.8401959576042247,0.04021361893702542,0.14606521535606967
19,5,5,0.75553817477679,0.06141432684200627,0.18051444863183894
19,6,1,0.9904344419645384,0.0024238326067491473,0.034089088678272234
19,6,2,0.9603859365351843,0.010019229028755594,0.07327129098431281
19,6,3,0.9029287833655961,0.024508129571687833,0.11376327434382612
19,6,4,0.818077314182043,0.045853915411116906,0.15615296186311625
19,6,5,0.7260132597174221,0.06894693151900279,0.1899912515914306
19,6,6,0.6276128178900771,0.09355206316156219,0.2199315347420472
19,7,1,0.9815818985575493,0.004676351477063684,0.050653823855937634
19,7,2,0.953883408858552,0.011685559473516606,0.07961239602668559
19,7,3,0.8956034633851053,0.026404077710495622,0.1185844830437484
19,7,4,0.8268266922508225,0.04372206315966175,0.1517251164666161
19,7,5,0.7358030694999025,0.06659127556609779,0.18622008996390965
19,7,6,0.6316686859573649,0.09268811278753951,0.21846275973515375
19,7,7,0.5319384671007484,0.11758761899694715,0.24427328596738065
19,8,1,0.9802183640514742,0.0050326189256577215,0.054876622235806326
19,8,2,0.9606834289365782,0.009982467831442665,0.0733826683305862
19,8,3,0.9140902958693261,0.021768802336062803,0.11091538462504474
19,8,4,0.8434121824011734,0.039604349324807345,0.14690894877222738
19,8,5,0.7715869368608371,0.057668762598950346,0.17748006848840614
19,8,6,0.6826128385501092,0.07999796170699054,0.20834001180831954
19,8,7,0.5923093524890366,0.10259262592739303,0.2332776817411671
19,8,8,0.5019377506658941,0.12512447593950737,0.25465679084680626
20,1,1,0.9934602816068335,0.0016429248308437775,0.029119222781026004
20,2,1,0.9876640231983151,0.0031042660929086357,0.04390109176548787
20,2,2,0.9607950855103236,0.009849159189102275,0.07676861536392486
20,3,1,0.986476293541693,0.0034086726962931457,0.04505220404517228
20,3,2,0.9532622188894023,0.011761250162175907,0.07877963435724555
20,3,3,0.8956720791861189,0.026209527895655754,0.11888715949383773
20,4,1,0.9899684686808145,0.002532718532816947,0.03467464406409921
20,4,2,0.9643725424968667,0.00897995989514236,0.06952865719495438
20,4,3,0.9111853157452038,0.022349621543297248,0.11090966821483658
20,4,4,0.8417708431103323,0.03975073469358407,0.14579564993997415
20,5,1,0.99043611076991,0.002418908544613917,0.03720842723193804
20,5,2,0.9648720842496592,0.008868947362997806,0.07070647546880457
20,5,3,0.9112691466287753,0.0223647591093268,0.11214847032968865
20,5,4,0.8515874493218004,0.037347026201402726,0.14195273757988544
20,5,5,0.7756103542683869,0.05637174241966223,0.1757412076966062
20,6,1,0.9867203739820665,0.003364946449373423,0.036489497034004274
20,6,2,0.9534338880374342,0.011777548171648868,0.07743320129197355
20,6,3,0.9003284396795286,0.025164653330209223,0.11619794291793978
20,6,4,0.8233358301666082,0.04452849771480199,0.15425630206474278
20,6,5,0.7273607886545566,0.06860783487055673,0.18857430745439394
20,6,6,0.6316247094678278,0.09254418546783345,0.21885780701851365
20,7,1,0.9813960115041458,0.004723548154716182,0.04901460581449268
20,7,2,0.9497888604914194,0.012723083871505243,0.08192664453480152
20,7,3,0.901689985209752,0.024864668449847138,0.11554564119368985
20,7,4,0.8200541425674565,0.045431967814465485,0.1568940932284795
20,7,5,0.7443421892744202,0.06443897623044516,0.1861229055965899
20,7,6,0.6326726439767203,0.09243547346369099,0.22144260067256066
20,7,7,0.5263044565111095,0.11900300959000797,0.24953864508307735
20,8,1,0.9614000300140428,0.00982016553062817,0.06965807882301323
20,8,2,0.9439060773791731,0.014242233311714037,0.08177924060354176
20,8,3,0.884339454841184,0.029307417260031714,0.12437999841195829
20,8,4,0.812992248713728,0.047298189744000296,0.157164731222532
20,8,5,0.738173615560666,0.06610481641837676,0.18558116126925667
20,8,6,0.6660013204826598,0.08418492245292669,0.2120125805520806
20,8,7,0.5626029264762393,0.11006804943827635,0.2385338745534091
20,8,8,0.42231512634861545,0.1451274758736474,0.27104353189860364
21,1,1,0.9937008301286946,0.0015824936141110733,0.02890569406381488
21,2,1,0.9918510768243692,0.0020506220394620914,0.03473322031954459
21,2,2,0.9658722411590311,0.008573663122782895,0.06922849661253123
21,3,1,0.9911408843064746,0.0022329548390391863,0.034666720768451745
21,3,2,0.9663604536454862,0.008465166950936812,0.068267610663109
21,3,3,0.9167382274431405,0.020917236090268163,0.10777062471912939
21,4,1,0.9809763394098315,0.004803013239523122,0.051338628545869944
21,4,2,0.9505257451369127,0.012470068190341754,0.08212550291735435
21,4,3,0.8979302876387277,0.025685160752957962,0.11707166891332046
21,4,4,0.8281655783056538,0.04316868421892876,0.15015902915986787
21,5,1,0.9845128336913163,0.0039170297788548745,0.04256436147932288
21,5,2,0.9612354110688289,0.00978711920235316,0.07205471434821174
21,5,3,0.9040948870686247,0.024173043158836338,0.1133287705861743
21,5,4,0.8408985743276762,0.040036810135745636,0.14644020026518578
21,5,5,0.7527938616551683,0.06210376022431123,0.18224165411763543
21,6,1,0.9804253818207669,0.004960044947884802,0.05004131150669625
21,6,2,0.9579493460377545,0.01063549396367501,0.0742636803396291
21,6,3,0.9050490596789416,0.023972811189814015,0.1137282846946621
21,6,4,0.8328775562164485,0.042123489800598005,0.14914845231041154
21,6,5,0.7324824154508491,0.06731901172668603,0.18649423465100481
21,6,6,0.6419413912231415,0.08995240221223808,0.21526356952718834
21,7,1,0.9733222703103512,0.006773469080334,0.06556181210964679
21,7,2,0.9380347009563995,0.015701489840116142,0.09609476751515007
21,7,3,0.897343567908643,0.025963968713073958,0.11892973193637188
21,7,4,0.8106155188583233,0.04781499154551714,0.15852164959792592
21,7,5,0.7201561452031131,0.07053510884847947,0.19310700793184785
21,7,6,0.5990364454965376,0.10089979794443382,0.22745837390022783
21,7,7,0.4977379034574775,0.12617957232892799,0.2534852104295249
21,8,1,0.9801352618867507,0.005053760833639397,0.050056233764262444
21,8,2,0.9512911866606947,0.012367155861151079,0.07831078073033465
21,8,3,0.9064924355775899,0.023694036749817154,0.11268333009756454
21,8,4,0.8358737421526341,0.04151097926285417,0.1482042122488241
21,8,5,0.7256136903539734,0.06927589312936167,0.19007263583032802
21,8,6,0.6240400999220496,0.09476131785673468,0.22170666534294814
21,8,7,0.5433985578667031,0.11490070041263288,0.24418922135495988
21,8,8,0.40911670711683135,0.14844321661050275,0.27410397914114726
22,1,1,0.9909895150422853,0.002263637145361263,0.034853439681176615
22,2,1,0.9908330343772555,0.0023068056153979074,0.036844057047600784
22,2,2,0.9602801307161878,0.009978527453480738,0.0763272880994912
22,3,1,0.9902876166050643,0.0024480223817570784,0.03651862931461807
22,3,2,0.9549810542271898,0.011328716740286056,0.07796138331940013
22,3,3,0.8948635717101392,0.026412643217807532,0.11954404705486035
22,4,1,0.986920330337268,0.0033022995895520494,0.04055171733807152
22,4,2,0.9605355448196544,0.009947081538781691,0.07263021743900859
22,4,3,0.9067614844786847,0.023462849107046286,0.11199889559703538
22,4,4,0.8397119293934736,0.04026798027919317,0.14628077520898933
