IN,OUT,No,R2,MSE,MAE
34,1,1,0.9932349152507354,0.0016964173701278441,0.029643615090857903
34,2,1,0.990538664528275,0.002376826749137957,0.03352393195290173
34,2,2,0.9622932338919666,0.009455374968357827,0.07140093192644306
34,3,1,0.9871841589671628,0.003224700590063826,0.045061252518864614
34,3,2,0.9630529884847677,0.00928163318302684,0.07072865319476222
34,3,3,0.9045430313526904,0.02393685603578704,0.11284011660863758
34,4,1,0.9557762651885986,0.011146105782068198,0.08759786081934313
34,4,2,0.9154532933749173,0.02127350160190777,0.11250730046162134
34,4,3,0.8645511423036725,0.034026746971917064,0.13630317299591227
34,4,4,0.7871969653535777,0.05336263739036698,0.1684426543648185
34,5,1,0.9658302014173527,0.008627983652230792,0.07179915154876772
34,5,2,0.9310581004703001,0.01737604723463206,0.09810380020689928
34,5,3,0.8548909726918004,0.0365120919325844,0.13880330615190828
34,5,4,0.7872113045243562,0.05345565272810979,0.1677894194896292
34,5,5,0.680235695550413,0.08018432000783075,0.20534379389787544
34,6,1,0.9623824492512157,0.009517728857009975,0.08621669166807967
34,6,2,0.9559999743316626,0.011110147496068085,0.08254039676760673
34,6,3,0.9064808922925854,0.02357046214203365,0.11823218949296163
34,6,4,0.8463143085186517,0.03867013789687714,0.1502214582914046
34,6,5,0.7712653429193369,0.05746151302096189,0.17978215527774535
34,6,6,0.6830605892180523,0.07947594770147223,0.20851497178143544
34,7,1,0.9824995919061742,0.004430684484201687,0.04754763168447627
34,7,2,0.9534906463142482,0.011747981190525801,0.07889309545679576
34,7,3,0.8958517313714378,0.02625212998045189,0.11810827322713456
34,7,4,0.824318679065931,0.04420213848325901,0.15203924474689973
34,7,5,0.7393004385766563,0.06548463620204797,0.1844496487541053
34,7,6,0.6331739931214644,0.09198207362774337,0.2182869151147856
34,7,7,0.5267254929529548,0.1184676649974474,0.24749684979120654
34,8,1,0.9826790497523875,0.004395143862210467,0.04628511785598508
34,8,2,0.9528498030175305,0.011937301409044504,0.07876118126091315
34,8,3,0.8916722512758766,0.02736293355142621,0.11978463834732885
34,8,4,0.8206206485770288,0.0452152504441495,0.15385788598313285
34,8,5,0.721530622720951,0.07006403362856554,0.1910485020984078
34,8,6,0.6293864461130605,0.09309372679927023,0.22002520379725635
34,8,7,0.5357044765265169,0.11642267512213435,0.24579846087408336
34,8,8,0.4327460777448112,0.14199211373017334,0.2699224870482354
35,1,1,0.9928673203490527,0.001788595724057984,0.029789843602115285
35,2,1,0.9586570213425376,0.010385964841407311,0.06795444629006574
35,2,2,0.9105108659829999,0.022440357661541527,0.10768749643235365
35,3,1,0.9857442041746034,0.003587019618314399,0.0449263111788915
35,3,2,0.9618422323247667,0.009585792953745679,0.07178609897353218
35,3,3,0.9109145608348271,0.02233912685893475,0.1104459208541763
35,4,1,0.9850313613632211,0.0037726806740908062,0.044280297982207284
35,4,2,0.9598233443388065,0.010109183227654344,0.07388111495455449
35,4,3,0.9096230709939657,0.022704014989050884,0.11179065070866824
35,4,4,0.8399993221486521,0.04012188157269749,0.14664500958837573
35,5,1,0.9764105237859874,0.005956418345484416,0.06181878178541118
35,5,2,0.9551044910744024,0.011315419056273047,0.0809294806627208
35,5,3,0.9105526075258893,0.022506604018564347,0.11074830624166965
35,5,4,0.8393236413784144,0.04036426657390655,0.14729470025902502
35,5,5,0.7568092960536569,0.06098267053831684,0.18075687874170618
35,6,1,0.9887267152640723,0.0028475634799821634,0.03587925746985371
35,6,2,0.955896509157987,0.011116944999877514,0.07607121787178055
35,6,3,0.8939536890560139,0.02668168532125262,0.11820916368012993
35,6,4,0.7988361247504732,0.050529978323660754,0.1622204880955498
35,6,5,0.6900873944610305,0.0777109680511022,0.20058557038507224
35,6,6,0.5815357421608227,0.1047478424739434,0.23199128136312294
35,7,1,0.9875236424234793,0.003158715136085593,0.039152597594592144
35,7,2,0.9587331006380122,0.010423768964230362,0.07468463306840721
35,7,3,0.8989985616827016,0.02545892429930562,0.11582701886350708
35,7,4,0.8170610271146196,0.04602819338146619,0.1558863127640773
35,7,5,0.7459407911900897,0.06381665842421856,0.1821424113526199
35,7,6,0.6369039265025416,0.09104678823234764,0.2174997283896496
35,7,7,0.520143999632823,0.12011511089665111,0.24638850679196508
35,8,1,0.9868191011156319,0.003344617125612539,0.03991476554607064
35,8,2,0.9605705061471272,0.009982604159698628,0.07398663874182462
35,8,3,0.9050318708304432,0.02398837452615834,0.11516102800681481
35,8,4,0.8408862752645474,0.0401069959052915,0.14740285904071615
35,8,5,0.7563938128792185,0.06129231247374648,0.18198016481925278
35,8,6,0.6685535148634068,0.08325542391063576,0.21343976939775183
35,8,7,0.5814894907260362,0.10494202634539165,0.23858939287687608
35,8,8,0.4896961047448841,0.1277366729240841,0.25818238857043924
36,1,1,0.9929762167989151,0.0017612887743391177,0.029851716795421902
36,2,1,0.9912385031417725,0.002201016987227317,0.03518300244853972
36,2,2,0.9637659444595786,0.009086077039261016,0.07058906528609904
36,3,1,0.9881691492214114,0.002976858981702401,0.038775488712999406
36,3,2,0.9595336295122744,0.010165747964776109,0.07273387110867915
36,3,3,0.9090096770679332,0.022816796840908708,0.11214364376402805
36,4,1,0.991359412868354,0.002177764917396213,0.032710566500786444
36,4,2,0.9634475690373727,0.009197261841141679,0.07181126718518581
36,4,3,0.914779601845475,0.02140861853077607,0.10880530643793425
36,4,4,0.8484501069966104,0.0380027568701063,0.1444415448318255
36,5,1,0.9899365368034764,0.0025366465267976715,0.03535141141575779
36,5,2,0.9628565073271586,0.009345454588726645,0.07107896106354909
36,5,3,0.9105712714495843,0.022463435393456292,0.11099922257028867
36,5,4,0.8410109065091531,0.03986671127253429,0.1459197024355431
36,5,5,0.7567636614112994,0.060885681873981634,0.18157614131147184
36,6,1,0.9670688517929494,0.00831820868406019,0.07547742908378932
36,6,2,0.9445841846206169,0.013968385720368296,0.09153564982773432
36,6,3,0.9004412170998258,0.02504939674622409,0.11992958634750961
36,6,4,0.831251832338005,0.04238753724316182,0.1518576313326712
36,6,5,0.7518476505388829,0.06222450767125691,0.18260008637259637
36,6,6,0.6551959036851491,0.08630960587090082,0.21507369975387425
36,7,1,0.9837331446879645,0.0041183784430271235,0.0488681836613726
36,7,2,0.9568156338356453,0.010908109470870555,0.07839404021237338
36,7,3,0.9016629188576126,0.024787333193748512,0.11526279195201557
36,7,4,0.8410808940100625,0.039984696684055375,0.1477186317291327
36,7,5,0.754467648688966,0.06167481300563775,0.18033416752370166
36,7,6,0.665586081875237,0.08385470239922069,0.2105467223556509
36,7,7,0.5463341321648985,0.1135593302643758,0.2413986348962657
36,8,1,0.9849161075415637,0.003827496552394826,0.04355385632093089
36,8,2,0.9539701368009567,0.011653659708534424,0.08297681493517403
36,8,3,0.891374075124249,0.02743825104227873,0.12920155786385015
36,8,4,0.8447110831182247,0.039142895836733554,0.14867803476261557
36,8,5,0.7634784642322987,0.05950978523323248,0.18030339791359626
36,8,6,0.6869968773025761,0.0786226701266343,0.21241521500337865
36,8,7,0.6028015085304104,0.09959801159704032,0.23381821835868208
36,8,8,0.5134888411283896,0.12178099628973389,0.2539251104659032
37,1,1,0.9895240873341992,0.002626947166646899,0.039474352888270954
37,2,1,0.9887741106949108,0.002820108647762897,0.039261079724198
37,2,2,0.9549466890099145,0.011297599686930913,0.07746805722795448
37,3,1,0.98915777783446,0.0027281018955554043,0.03469946191870655
37,3,2,0.9620590860905145,0.009531316095524052,0.0713137402415257
37,3,3,0.9105223294644873,0.02243748307092838,0.11166713521638055
37,4,1,0.968104500098187,0.008025038155204946,0.07327355358155062
37,4,2,0.9405820467019297,0.014925084777093173,0.09139243800244769
37,4,3,0.8771519908255216,0.030804289807756683,0.13091193825740927
37,4,4,0.792502938454491,0.05193960800572882,0.16701970027564475
37,5,1,0.980882430159857,0.004818869626567777,0.05032692155606039
37,5,2,0.9398804569972528,0.015126322771417297,0.08927307696678997
37,5,3,0.8804893729416169,0.03001965132763771,0.12700226745985252
37,5,4,0.7837085469685526,0.054235348597783166,0.17027285469619963
37,5,5,0.6663950563040535,0.08350629100615198,0.21007020593319245
37,6,1,0.9290624897832663,0.017918385651190465,0.12031281352732431
37,6,2,0.8757454788252723,0.03132021188149821,0.14873011969400782
37,6,3,0.8096812822601223,0.04788496735319667,0.17091892451873802
37,6,4,0.7360851648239435,0.06629227481423756,0.1965359645908781
37,6,5,0.6288248491012209,0.09307262685457648,0.22702905302551343
37,6,6,0.5434238036342398,0.11428782888466658,0.24805704067510229
37,7,1,0.9836123690634085,0.004148955940587233,0.046448107787498645
37,7,2,0.9499066549038527,0.012653275724627867,0.08451553234800097
37,7,3,0.9021445268921272,0.024665936680026354,0.1167320109169248
37,7,4,0.825388375682477,0.04393299844191458,0.15334966164481312
37,7,5,0.7361348145423137,0.06627980339415826,0.18768936620533339
37,7,6,0.6488631046956459,0.08804800955128848,0.21648928556069574
37,7,7,0.5506548653937344,0.11247778632090241,0.24149508241523002
37,8,1,0.9350750331345129,0.016474533183443378,0.10902442169455459
37,8,2,0.899929364815249,0.02533548979316144,0.12223564147677907
37,8,3,0.8223913773285615,0.04486286290962729,0.15899367266737638
37,8,4,0.7378183875974795,0.06608679969345012,0.1876723136780427
37,8,5,0.6554109668542076,0.0867000093233524,0.2144087495641816
37,8,6,0.5623980730866144,0.10992041117669593,0.23846352007485097
37,8,7,0.44487300847492295,0.13919877775763864,0.2677628316757362
37,8,8,0.37602070389742803,0.15619132050286932,0.2823578560075563
38,1,1,0.992913842422168,0.0017769298165561064,0.03036924936598366
38,2,1,0.9770006231650074,0.005777782030695444,0.05913202855003149
38,2,2,0.9360659811644952,0.016032139154859987,0.0932585274858864
38,3,1,0.9887890019478116,0.00281606967384675,0.03864818509968644
38,3,2,0.9623488898012428,0.009441062317086796,0.07168138041548945
38,3,3,0.9135050429105628,0.02165097728245366,0.10986538841221062
