IN,OUT,No,R2,MSE,MAE
27,3,1,0.989271214,0.002704208,0.036236422
27,3,2,0.962047844,0.009550406,0.070942
27,3,3,0.908195697,0.023063313,0.111924737
27,4,1,0.961367168,0.00973698,0.078285451
27,4,2,0.935190115,0.016307355,0.097547606
27,4,3,0.892656017,0.026966389,0.118610431
27,4,4,0.818719789,0.045457952,0.152793298
27,5,1,0.977435374,0.00569764,0.045590436
27,5,2,0.953547827,0.011707759,0.074357303
27,5,3,0.90477382,0.023960653,0.109553077
27,5,4,0.821521062,0.044836536,0.150515113
27,5,5,0.730293405,0.067631814,0.184483819
27,6,1,0.974528535,0.006444612,0.051245553
27,6,2,0.954271643,0.011546557,0.075407203
27,6,3,0.901056073,0.024937728,0.112037129
27,6,4,0.843032081,0.039496006,0.145394041
27,6,5,0.752252715,0.062237765,0.179518294
27,6,6,0.680163646,0.080202387,0.206293543
27,7,1,0.98197653,0.004569953,0.048805248
27,7,2,0.960629884,0.009961151,0.07219909
27,7,3,0.910758657,0.022533725,0.107216001
27,7,4,0.852526097,0.037169175,0.138326003
27,7,5,0.771481606,0.057499418,0.1715093
27,7,6,0.697038181,0.076108469,0.197252344
27,7,7,0.618208647,0.095738266,0.220644672
27,8,1,0.950834558,0.012492552,0.081923765
27,8,2,0.919347315,0.020449944,0.103977257
27,8,3,0.865581449,0.034009639,0.136234598
27,8,4,0.798357048,0.050915492,0.161887148
27,8,5,0.698703621,0.075938437,0.19758674
27,8,6,0.620202472,0.095564022,0.219163479
27,8,7,0.505018339,0.12434668,0.250581477
27,8,8,0.405985988,0.148955368,0.271349324
28,1,1,0.992275937,0.001940459,0.032754327
28,2,1,0.990474581,0.002397008,0.033769677
28,2,2,0.965872361,0.008573633,0.067546464
28,3,1,0.990179622,0.002470987,0.034066614
28,3,2,0.961675653,0.00962764,0.069541417
28,3,3,0.902907016,0.024347104,0.11152816
28,4,1,0.985905978,0.003552243,0.039820241
28,4,2,0.962130722,0.009528605,0.068709315
28,4,3,0.917949519,0.020612289,0.103494603
28,4,4,0.848358454,0.03802574,0.140184158
28,5,1,0.982890122,0.004320299,0.043874478
28,5,2,0.961983524,0.009581634,0.069286008
28,5,3,0.91819661,0.020583233,0.104301572
28,5,4,0.851820716,0.037224817,0.139683545
28,5,5,0.777662328,0.05575355,0.170470748
28,6,1,0.981002359,0.00480665,0.047884964
28,6,2,0.954815607,0.011409204,0.075598132
28,6,3,0.908684684,0.023015021,0.10870777
28,6,4,0.837279184,0.040943541,0.144890385
28,6,5,0.744281567,0.064240235,0.180380131
28,6,6,0.639289186,0.090452095,0.21438734
28,7,1,0.982898281,0.004336238,0.044547065
28,7,2,0.954735871,0.011452412,0.074437902
28,7,3,0.903062399,0.024477055,0.110634964
28,7,4,0.836219584,0.041279052,0.144584976
28,7,5,0.754357229,0.061808225,0.177705234
28,7,6,0.666466071,0.083788633,0.207595087
28,7,7,0.578611942,0.105667563,0.2316253
28,8,1,0.957023483,0.010919995,0.07375649
28,8,2,0.952131504,0.012137328,0.074107838
28,8,3,0.904383754,0.024192152,0.109286398
28,8,4,0.843089971,0.039620285,0.141950846
28,8,5,0.763098531,0.059708409,0.173892645
28,8,6,0.660676288,0.085380068,0.207123833
28,8,7,0.599205876,0.100685384,0.226095371
28,8,8,0.512420461,0.122265785,0.247218074
29,1,1,0.993303319,0.001682357,0.029265011
29,2,1,0.979449884,0.005162492,0.058539885
29,2,2,0.956228091,0.010976275,0.077574806
29,3,1,0.980297734,0.004957451,0.052312717
29,3,2,0.951690416,0.012136079,0.081501293
29,3,3,0.898724932,0.025395807,0.115215532
29,4,1,0.988180614,0.002978946,0.036048868
29,4,2,0.959321288,0.01023551,0.075279731
29,4,3,0.916857597,0.020886596,0.10378461
29,4,4,0.85598701,0.036112798,0.138271699
29,5,1,0.955224547,0.011305945,0.08264288
29,5,2,0.9219091,0.019681952,0.108587985
29,5,3,0.872484899,0.032085137,0.132939489
29,5,4,0.796735203,0.051063109,0.164999672
29,5,5,0.708770144,0.073029002,0.194973822
29,6,1,0.962975441,0.009367694,0.073120911
29,6,2,0.929543577,0.017790473,0.098861044
29,6,3,0.854446283,0.036685213,0.141923301
29,6,4,0.78776,0.053403475,0.166909583
29,6,5,0.677118949,0.081112473,0.205623397
29,6,6,0.587423072,0.103458078,0.229211071
29,7,1,0.978558972,0.005436494,0.046016533
29,7,2,0.953167626,0.011849199,0.074460046
29,7,3,0.908830302,0.023020641,0.107426791
29,7,4,0.84775756,0.038371032,0.139224201
29,7,5,0.764303063,0.059305671,0.173807162
29,7,6,0.678364535,0.080799564,0.202385483
29,7,7,0.580517565,0.105189708,0.229036775
29,8,1,0.971090018,0.007345799,0.064339069
29,8,2,0.950389445,0.012579037,0.079637806
29,8,3,0.904496121,0.024163722,0.110406332
29,8,4,0.835990575,0.041412905,0.145035719
29,8,5,0.751475795,0.062637792,0.177872595
29,8,6,0.674196835,0.08197805,0.205649971
29,8,7,0.579420243,0.105655826,0.230178653
29,8,8,0.484828012,0.129184887,0.25299515
30,1,1,0.991135492,0.00222287,0.03385691
30,2,1,0.992588944,0.001861766,0.030205721
30,2,2,0.965852906,0.008562749,0.06687322
30,3,1,0.989501224,0.002641685,0.035309301
30,3,2,0.962505182,0.00941925,0.069851569
30,3,3,0.909142228,0.022783558,0.110125952
30,4,1,0.98661253,0.003374164,0.040271375
30,4,2,0.964882202,0.008836282,0.069282306
30,4,3,0.917279909,0.020780505,0.104358996
30,4,4,0.843468451,0.03925196,0.142176545
30,5,1,0.981591318,0.004648251,0.047900611
30,5,2,0.946283723,0.013538597,0.082637825
30,5,3,0.894554536,0.026532012,0.118715204
30,5,4,0.810527912,0.047598178,0.156253887
30,5,5,0.71394636,0.07173101,0.192401273
30,6,1,0.973910566,0.006600965,0.054800983
30,6,2,0.954946598,0.011376128,0.076729796
30,6,3,0.902785241,0.02450191,0.113963616
30,6,4,0.832159163,0.042231832,0.148427294
30,6,5,0.741116015,0.065035468,0.18298026
30,6,6,0.646430683,0.088661289,0.212876083
30,7,1,0.973590806,0.0066962,0.055278345
30,7,2,0.947963805,0.013165833,0.079780806
30,7,3,0.879493725,0.030428221,0.122979854
30,7,4,0.82071979,0.045185604,0.152342191
30,7,5,0.7386798,0.065752954,0.183554731
30,7,6,0.648724119,0.088245672,0.212284249
30,7,7,0.562526037,0.109701276,0.2352706
30,8,1,0.958562141,0.010529034,0.072423807
30,8,2,0.942437416,0.014595319,0.087980594
30,8,3,0.899233478,0.025495239,0.116595635
30,8,4,0.843513898,0.039513242,0.145153774
30,8,5,0.761626515,0.060079414,0.179006968
30,8,6,0.682879004,0.079793457,0.206861027
30,8,7,0.603915772,0.099502189,0.227473674
30,8,8,0.500565321,0.125238588,0.251636876
31,1,1,0.99126955,0.002189254,0.035119899
31,2,1,0.993083282,0.001737581,0.029053804
31,2,2,0.966796028,0.008326251,0.066776206
31,3,1,0.987180498,0.003225622,0.041377119
31,3,2,0.962095851,0.00952208,0.068434038
31,3,3,0.912915773,0.021837302,0.106072296
31,4,1,0.987330003,0.003193333,0.038991661
31,4,2,0.963692848,0.009135545,0.067973124
31,4,3,0.915430404,0.021245128,0.104884219
31,4,4,0.844127499,0.039086697,0.142315094
31,5,1,0.965577599,0.008691767,0.075226572
31,5,2,0.935394914,0.016283001,0.098287935
31,5,3,0.871662918,0.032291963,0.136121277
31,5,4,0.811746859,0.04729196,0.158554089
31,5,5,0.720742348,0.070026844,0.19108919
31,6,1,0.981319308,0.004726458,0.047635272
31,6,2,0.958796262,0.010404076,0.072111837
31,6,3,0.915777922,0.021227248,0.105871452
31,6,4,0.851861397,0.037274389,0.140116148
31,6,5,0.765148617,0.058998124,0.175484147
31,6,6,0.667921367,0.08327227,0.207230861
31,7,1,0.967998998,0.008114035,0.064920392
31,7,2,0.943312889,0.014342575,0.083199935
31,7,3,0.895921877,0.02628006,0.115509056
31,7,4,0.824508623,0.044230671,0.150488138
31,7,5,0.741132322,0.065135854,0.181855011
31,7,6,0.646842858,0.088718273,0.211997222
31,7,7,0.540644226,0.115188374,0.238905178
31,8,1,0.95332715,0.011859204,0.077160207
31,8,2,0.928844106,0.018041979,0.092766213
31,8,3,0.86191453,0.034937417,0.132935844
31,8,4,0.79662907,0.051351812,0.159900386
31,8,5,0.685786337,0.079194097,0.19998689
31,8,6,0.592032936,0.102651994,0.227143422
31,8,7,0.477709429,0.13120708,0.25607338
31,8,8,0.406846703,0.148739534,0.271523963
32,1,1,0.993975833,0.001510624,0.027925398
32,2,1,0.99243809,0.001899663,0.031338204
32,2,2,0.967053988,0.008261565,0.065983984
32,3,1,0.983466056,0.004160244,0.047220687
32,3,2,0.951398785,0.012209341,0.080841183
32,3,3,0.893671984,0.026662887,0.118081327
32,4,1,0.983153794,0.004245901,0.045306615
32,4,2,0.957153044,0.01078108,0.074451472
32,4,3,0.902866351,0.024401403,0.112215224
32,4,4,0.830332433,0.042545957,0.148395912
32,5,1,0.972879154,0.006848101,0.057822669
32,5,2,0.951701009,0.012173229,0.081064468
32,5,3,0.901853558,0.024695444,0.115082564
32,5,4,0.829915263,0.04272779,0.149663976
32,5,5,0.726071747,0.06869044,0.188231332
32,6,1,0.980125328,0.00502855,0.048267409
32,6,2,0.956296535,0.011035265,0.07252702
32,6,3,0.90503288,0.023935418,0.108854238
32,6,4,0.831987923,0.042274919,0.146042297
32,6,5,0.740966807,0.065072951,0.181045537
32,6,6,0.655057996,0.086497897,0.207998154
32,7,1,0.947321065,0.013357042,0.083585782
32,7,2,0.914061086,0.021743661,0.105666961
32,7,3,0.850001729,0.037875044,0.142224902
32,7,4,0.764787695,0.059282673,0.176055045
32,7,5,0.693749401,0.077058266,0.19707142
32,7,6,0.57125782,0.107706347,0.234653533
32,7,7,0.457538214,0.136028096,0.262692512
32,8,1,0.953321465,0.011860648,0.0707558
32,8,2,0.940659417,0.01504614,0.08884322
32,8,3,0.886602674,0.028690996,0.124269183
32,8,4,0.822087817,0.044923397,0.155602341
32,8,5,0.744613409,0.06436738,0.186489607
32,8,6,0.656966772,0.08631345,0.214281772
32,8,7,0.546524956,0.113919607,0.239656346
32,8,8,0.483172338,0.129600065,0.256547642
33,1,1,0.992897373,0.00178106,0.030505253
33,2,1,0.985381035,0.003672499,0.04808002
33,2,2,0.959131861,0.010248123,0.07498453
33,3,1,0.985113773,0.003745648,0.040281647
33,3,2,0.957302092,0.010726343,0.073726223
33,3,3,0.908776502,0.022875268,0.109051363
33,4,1,0.986411539,0.003424822,0.040012305
33,4,2,0.956236677,0.011011655,0.07457331
33,4,3,0.908117827,0.023082155,0.107758438
33,4,4,0.83462421,0.041469748,0.145559268
33,5,1,0.97980992,0.00509806,0.050202309
33,5,2,0.952563235,0.011955915,0.078501492
33,5,3,0.889729268,0.027746138,0.119519455
33,5,4,0.81473949,0.046540167,0.154421086
33,5,5,0.71717077,0.070922455,0.18948817
33,6,1,0.977555631,0.005678717,0.047337682
33,6,2,0.960960089,0.009857703,0.070368035
33,6,3,0.907558218,0.023298934,0.109306917
33,6,4,0.841982204,0.039760175,0.143566853
33,6,5,0.751974852,0.062307568,0.18011393
33,6,6,0.65785567,0.085796351,0.209225373
33,7,1,0.966286451,0.008548261,0.065670552
33,7,2,0.949298451,0.01282815,0.081118374
33,7,3,0.910222582,0.022669086,0.107573162
33,7,4,0.84109647,0.040049887,0.144942998
33,7,5,0.761284414,0.060065218,0.176883632
33,7,6,0.668172768,0.083359885,0.205545907
33,7,7,0.598422741,0.100699794,0.226000968
33,8,1,0.947437945,0.013337478,0.084194192
33,8,2,0.913403582,0.02192414,0.105504987
33,8,3,0.855959031,0.036383877,0.138263756
33,8,4,0.785281249,0.054123075,0.166720965
33,8,5,0.708898495,0.073242329,0.191944346
33,8,6,0.613178359,0.097165006,0.220907233
33,8,7,0.526090186,0.11883347,0.242164072
33,8,8,0.420411451,0.145079655,0.267280831
34,1,1,0.992990342,0.001757747,0.029402183
34,2,1,0.991346593,0.002173863,0.031853608
34,2,2,0.967103408,0.008249172,0.065902813
