时间,汕尾风速,风速1,风速2,风速3,风速4,汕尾风向,风向1,风向2,风向3,风向4,汕尾波高,波高1,波高2,波高3,波高4,波浪方向,方向1,方向2,方向3,方向4,波浪周期,周期1,周期2,周期3,周期4
1993/11/1 0:00,7.593355571,7.593355571,7.593355571,7.593355571,7.593355571,39.36108543,37.41603763,33.95515544,42.16788379,41.01974986,2.237586686,2.048091746,1.314649119,2.773680937,2.393472201,58.29929319,60.46667884,61.96090222,56.7421073,56.4124992,7.156331987,6.971695803,6.229790343,7.696743606,7.307837472
1993/11/1 3:00,8.072310658,8.072310658,8.072310658,8.072310658,8.072310658,41.25580289,40.72859628,40.4539231,41.58008317,41.7119263,2.178269186,2.039213949,1.342819052,2.676537349,2.290353172,58.60653953,59.97776015,60.65345676,57.80234669,57.40681697,7.05930667,6.876450044,6.037275906,7.663871176,7.207702993
1993/11/1 6:00,7.702695194,7.702695194,7.702695194,7.702695194,7.702695194,36.5007133,34.16940053,34.0375574,37.20179254,38.54769116,2.123590853,1.996361505,1.318234383,2.60671006,2.225476962,59.17978881,60.71937838,61.58734638,58.20336988,57.8353075,7.023755296,6.897690691,6.033398645,7.62981871,7.122066098
1993/11/1 9:00,7.087857893,7.087857893,7.087857893,7.087857893,7.087857893,37.41669201,34.82861619,34.32321752,38.43782189,39.6793447,2.126821993,1.9753621,1.270089406,2.634197086,2.249720178,59.79225707,61.84553939,63.68035781,58.03307236,58.01659196,7.01849256,6.93696903,6.117855504,7.582785849,7.078404768
1993/11/1 12:00,7.096177212,7.096177212,7.096177212,7.096177212,7.096177212,36.82100939,33.93867505,32.66419146,38.4213415,39.33874995,2.17002411,1.993288421,1.230139319,2.722462877,2.314254934,60.56930931,63.47709948,66.63584378,57.70895773,58.0605397,7.088426696,7.021088736,6.285083456,7.594080479,7.136900836
1993/11/1 15:00,7.118362063,7.118362063,7.118362063,7.118362063,7.118362063,33.04842422,30.32397589,28.24195311,35.14174362,35.41641681,2.2175142,2.038531041,1.231505134,2.799631421,2.363082818,60.92781725,64.25167852,68.11358676,57.489219,58.06603317,7.166470612,7.092565199,6.380834944,7.657633843,7.221189118
1993/11/1 18:00,7.398445808,7.398445808,7.398445808,7.398445808,7.398445808,30.35397737,27.03339108,24.56133238,32.86195615,33.24100515,2.237040192,2.083602935,1.240724385,2.836166971,2.359668281,60.74463517,64.13631569,68.24543,57.12115662,57.82981403,7.215895365,7.134035034,6.407301465,7.719164289,7.277325114
1993/11/1 21:00,7.92731681,7.92731681,7.92731681,7.92731681,7.92731681,26.34174883,23.10007102,20.45771494,28.94511648,29.1538681,2.293258816,2.153600951,1.272650309,2.914018423,2.403203633,58.91916372,61.53241169,65.16908773,55.81371115,56.68167915,7.18462075,7.067447291,6.298906734,7.724895893,7.276482231
1993/11/2 0:00,7.968913406,7.968913406,7.968913406,7.968913406,7.968913406,22.39968531,18.95799933,15.09060083,25.86877676,25.36887156,2.372489393,2.223769694,1.320112379,3.010649831,2.490103609,55.86038079,57.1596109,59.59871084,53.90198417,54.75347176,7.164538738,7.005242539,6.20736966,7.735516216,7.292834158
1993/11/2 3:00,9.076175168,9.076175168,9.076175168,9.076175168,9.076175168,28.16202629,24.38554154,22.47930961,30.41736477,31.45562943,2.473190603,2.341229779,1.441669909,3.104208155,2.57614995,51.96785999,51.14975654,51.55627319,51.9188421,52.68792767,7.070640831,6.841723272,5.988894432,7.696237877,7.259455998
