时间,汕尾风速,风速1,风速2,风速3,风速4,汕尾风向,风向1,风向2,风向3,风向4,汕尾波高,波高1,波高2,波高3,波高4,波浪方向,方向1,方向2,方向3,方向4,波浪周期,周期1,周期2,周期3,周期4
819729,4.417358132,4.417358132,4.417358132,4.417358132,4.417358132,202.0723834,198.9072177,198.8852438,202.9229365,204.8511407,0.49558419,0.493280106,0.440890567,0.531000574,0.496772742,179.2767359,179.921903,183.3278418,176.8510646,178.7572917,4.56259564,4.51630368,4.250334434,4.75115363,4.5993631
819732,3.68865692,3.68865692,3.68865692,3.68865692,3.68865692,198.7055892,193.6389901,192.8589189,200.5552555,203.1481683,0.502950073,0.492406947,0.434953086,0.543748695,0.511441813,180.3141357,179.7076585,182.7400427,178.4661388,180.8887502,4.546842721,4.533094668,4.300707397,4.704586623,4.555482652
819735,3.407907309,3.407907309,3.407907309,3.407907309,3.407907309,201.1025802,195.4847925,196.7153274,201.76931,206.0542083,0.503187318,0.495550319,0.434254559,0.545844276,0.508996967,180.2964086,179.7845668,182.4433964,178.6748899,180.7788812,4.575420155,4.527945432,4.320184943,4.725631328,4.614139169
819738,3.333456671,3.333456671,3.333456671,3.333456671,3.333456671,206.0905783,200.4563732,201.1815099,207.0924721,211.0532563,0.50211804,0.498868323,0.434079927,0.545844276,0.504107277,180.328922,180.1746017,182.4049423,178.8891345,180.4987152,4.607648659,4.538020025,4.347498283,4.752273029,4.666079291
819741,3.2190772,3.2190772,3.2190772,3.2190772,3.2190772,213.9431264,207.6198442,208.2790594,215.1788443,219.5021969,0.504794031,0.508123808,0.437048667,0.55108323,0.500789273,181.0410688,181.6798069,182.8718855,180.0867065,180.4932218,4.614116491,4.512273843,4.357348996,4.743541715,4.701452306
819744,2.45169493,2.45169493,2.45169493,2.45169493,2.45169493,207.0485242,198.4677409,202.4120448,206.6529954,214.684433,0.491958328,0.495375687,0.430063395,0.534318578,0.488041152,180.155408,181.2568113,183.146558,178.614462,179.213248,4.737739756,4.642348029,4.452721807,4.88861585,4.81876534
819747,3.027751539,3.027751539,3.027751539,3.027751539,3.027751539,195.3780047,191.0570642,196.7208208,192.7655301,199.2533056,0.486524379,0.491359156,0.430238027,0.525936252,0.481230512,178.9351066,180.3229248,182.9433003,176.8400777,177.7464969,4.788767034,4.673467326,4.454288965,4.964511114,4.886824811
819750,3.622940714,3.622940714,3.622940714,3.622940714,3.622940714,191.694468,186.2173265,191.0295969,189.9693593,196.5560171,0.48645471,0.489438206,0.432158977,0.523666038,0.48297683,178.0206316,179.3395973,182.657641,175.4777022,176.9059991,4.778614879,4.673467326,4.415781633,4.977048385,4.867347265
819753,3.590498537,3.590498537,3.590498537,3.590498537,3.590498537,179.8798125,175.7742603,179.4274107,178.5319769,183.5475053,0.483451714,0.484723148,0.4295395,0.519649507,0.481579775,176.8242112,178.0266629,181.8665842,173.9615101,175.8237895,4.799982622,4.696526949,4.415109994,5.013764679,4.886824811
819756,3.266076764,3.266076764,3.266076764,3.266076764,3.266076764,170.554711,168.0394695,172.8572333,168.0229891,172.8352595,0.480710476,0.481230512,0.424300546,0.518252453,0.479484194,175.2678909,176.2907328,180.7129598,172.0662699,174.4339467,4.820044536,4.70995974,4.436154699,5.030555666,4.912794872
819759,3.105113654,3.105113654,3.105113654,3.105113654,3.105113654,165.1072222,165.7706707,173.2143082,160.0025384,164.6280312,0.473424763,0.47424524,0.414521166,0.512838867,0.471800395,173.6778652,174.6262175,179.5703222,170.149056,172.9177546,4.894755916,4.767496858,4.514064882,5.096152459,5.003018446
819762,2.325253623,2.325253623,2.325253623,2.325253623,2.325253623,171.0802644,171.3959731,175.5929761,168.2097667,170.868601,0.466194165,0.466910704,0.40526568,0.506901386,0.464640491,172.3351741,173.4286455,178.5760078,168.6328639,171.4510036,4.974245432,4.830630972,4.590855666,5.170928324,5.097047978
819765,2,2,2,2,2,151.124072,157.3107433,160.0519795,147.6916959,145.7140506,0.463094758,0.460798592,0.397581881,0.505504331,0.464291228,170.8792448,172.3464359,177.7080428,166.9408813,169.6656324,5.007509617,4.887272571,4.652646501,5.194659587,5.109809129
819768,2.590198071,2.590198071,2.590198071,2.590198071,2.590198071,115.8574063,121.3890125,126.5199035,111.0503219,111.0228546,0.467013921,0.457305956,0.390421978,0.513886658,0.474594504,166.9992371,170.4127416,176.6862611,161.9308552,164.1007678,4.960143941,4.905182958,4.696750829,5.112719567,5.005481125
819771,2.925849828,2.925849828,2.925849828,2.925849828,2.925849828,124.0897734,125.8826622,135.7653957,117.0601665,122.663495,0.481522187,0.459052274,0.389374187,0.533620051,0.500265378,162.2354494,167.583615,174.9613179,155.9155278,157.6624448,4.858696808,4.897794923,4.690706074,4.985555819,4.821451898
819774,3.620445162,3.620445162,3.620445162,3.620445162,3.620445162,130.9476184,128.6238985,135.6225657,126.9154326,133.0955744,0.516051085,0.478785667,0.404043258,0.57535705,0.547765226,156.1121431,162.1396063,171.2147852,148.4773969,150.9769165,4.701134143,4.747795432,4.514064882,4.843616002,4.656900218
819777,3.638745878,3.638745878,3.638745878,3.638745878,3.638745878,136.3571015,134.2437074,139.1988078,133.6339334,138.2814,0.539026917,0.500265378,0.419585488,0.602774242,0.571864414,151.0965269,156.2341479,165.7927504,143.384969,146.7414668,4.684362158,4.671228528,4.418244312,4.855481634,4.692273232
819780,2.752408957,2.752408957,2.752408957,2.752408957,2.752408957,127.1612451,127.0143149,128.3107713,126.3386194,127.3109617,0.550916332,0.513886658,0.425348337,0.619364263,0.58216769,147.3955574,151.7514929,161.354043,139.8691612,143.7200694,4.768553381,4.712646298,4.467721756,4.945705208,4.814063864
819783,3.024840061,3.024840061,3.024840061,3.024840061,3.024840061,120.2499966,121.9548388,119.8783111,121.180261,118.7191912,0.564177142,0.525237724,0.430063395,0.63752597,0.597011393,144.4576205,148.2356851,157.5470823,137.2872398,141.2754843,4.84305682,4.782944566,4.554587132,5.010182601,4.892645687
819786,3.077662581,3.077662581,3.077662581,3.077662581,3.077662581,121.5212108,125.987038,122.1031622,122.9107007,117.5490844,0.578698032,0.538335109,0.437397931,0.656211572,0.612728255,142.1202291,145.3626109,153.9488728,135.5732835,139.3967245,4.900995933,4.837123487,4.628019719,5.056301848,4.954212642
819789,3.167086531,3.167086531,3.167086531,3.167086531,3.167086531,119.4579094,123.4435663,117.6424732,122.2514856,115.8735793,0.59654071,0.554226603,0.449272893,0.677167387,0.632287016,140.3440898,143.1377638,150.6967506,134.6064364,137.9904014,4.923042625,4.866675626,4.665407652,5.071301797,4.969660351
819792,4.607851942,4.607851942,4.607851942,4.607851942,4.607851942,115.4434512,110.6767667,106.0018328,119.7794289,119.5816643,0.669077799,0.622682267,0.481754407,0.77461193,0.707902584,136.2429968,138.0563228,144.7473445,131.3213534,134.7547595,4.696175704,4.606975014,4.497497774,4.79234752,4.772869974
819795,5.103219034,5.103219034,5.103219034,5.103219034,5.103219034,126.6217632,122.0207603,120.9330553,128.5524835,130.650985,0.740328309,0.711569851,0.538509741,0.862626355,0.763086231,133.6712092,133.3264626,138.0728031,130.6181919,134.040611,4.618908511,4.479811267,4.358692275,4.735929801,4.739287998
819798,4.451464011,4.451464011,4.451464011,4.451464011,4.451464011,125.7248324,122.0152668,117.0491796,130.0027568,128.9040649,0.791145581,0.787883946,0.589851489,0.92339822,0.791027319,134.2475268,133.172646,136.0182529,132.6507683,135.2271962,4.724644539,4.562422927,4.422498029,4.86018311,4.865108467
819801,4.747186934,4.747186934,4.747186934,4.747186934,4.747186934,135.1927311,134.4194981,133.0571202,136.2927678,135.8587845,0.844308789,0.859133719,0.643463451,0.983296927,0.828223891,136.9820487,135.7490739,136.776349,136.6280259,138.0782966,4.916196254,4.771078935,4.591079546,5.073764475,5.041078019
819804,4.638214493,4.638214493,4.638214493,4.638214493,4.638214493,139.9125232,134.0624232,132.1561928,142.7091283,145.0328616,0.940387984,0.968278592,0.708950374,1.104840657,0.912221786,141.8065427,140.1713009,139.8691612,142.4400956,143.2366459,5.149292833,5.058764526,4.864212947,5.302121909,5.226002764
819807,4.493472471,4.493472471,4.493472471,4.493472471,4.493472471,133.2145956,125.6848977,122.4272763,137.3310316,139.8085817,1.042706215,1.069914298,0.791551214,1.220097643,1.01473065,146.2820017,143.5113183,143.0773358,147.3017986,148.7081218,5.48971584,5.3965992,5.182122316,5.656299811,5.568538915
819810,4.687293684,4.687293684,4.687293684,4.687293684,4.687293684,130.0125044,126.6517466,123.7566935,132.8209014,132.9197837,1.153360785,1.180805489,0.882709012,1.343736955,1.124923314,149.5309211,145.6867244,145.5658685,150.6198423,152.9106108,5.814188188,5.647344618,5.440031889,5.995477765,5.957865952
819813,4.473508054,4.473508054,4.473508054,4.473508054,4.473508054,119.8580523,118.0929369,113.8959339,123.1084653,121.3450648,1.243616015,1.254325475,0.955181207,1.439085916,1.229877023,151.834471,147.1919296,147.5764711,152.8007418,155.9210212,6.120126157,5.898985555,5.703090697,6.308237897,6.311596095
