时间,汕尾风速,风速1,风速2,风速3,风速4,汕尾风向,风向1,风向2,风向3,风向4,汕尾波高,波高1,波高2,波高3,波高4,波浪方向,方向1,方向2,方向3,方向4,波浪周期,周期1,周期2,周期3,周期4
1993/9/1 0:00,4.430153808,4.430153808,4.430153808,4.430153808,4.430153808,25.64407491,24.34703573,21.89695552,27.60465358,26.75316831,0.682188348,0.607783908,0.469218119,0.79362326,0.745574721,87.5713623,97.61362711,115.0828627,72.53044161,79.7708355,4.823869054,4.732083849,4.66381353,4.893272732,4.903557611
1993/9/1 3:00,4.547480879,4.547480879,4.547480879,4.547480879,4.547480879,32.52770766,31.35118878,30.18108321,33.60899812,33.54857013,0.716157114,0.63010323,0.490142483,0.831597106,0.789748378,76.4671244,83.70965372,96.86651515,65.48231918,70.62970088,4.718827165,4.564156597,4.43470898,4.845394846,4.852842517
1993/9/1 6:00,3.050998817,3.050998817,3.050998817,3.050998817,3.050998817,26.16585028,23.69880823,19.68309381,29.47242773,28.28034834,0.70999691,0.62746831,0.494327356,0.81997246,0.780603656,70.70149702,75.01898367,84.07771623,63.42776128,67.1633211,4.813396334,4.600685651,4.43470898,4.979452927,4.997894779
1993/9/1 9:00,2.201388995,2.201388995,2.201388995,2.201388995,2.201388995,17.05498642,15.53553651,9.498231246,21.49043997,18.27127629,0.687930391,0.604993993,0.480997761,0.791918312,0.759059311,69.47878561,73.93677001,81.52325253,63.202529,65.74051229,4.990782672,4.76754895,4.587208913,5.169191215,5.184263883
1993/9/1 12:00,2,2,2,2,2,18.4208989,20.52908563,17.18357252,20.07862245,16.52435812,0.669911692,0.586859544,0.468443142,0.770218972,0.741234852,69.14271976,74.17848271,81.34746148,63.01025753,64.87254397,5.141779404,4.914906443,4.730310594,5.323819055,5.338537071
1993/9/1 15:00,2,2,2,2,2,14.53488172,12.75035565,6.800945638,18.95795796,16.0079735,0.655422705,0.572599977,0.457128486,0.753634476,0.726665295,68.86553781,74.34878029,81.45183742,62.67515584,64.18586018,5.251704389,5.033714531,4.849827984,5.430923659,5.440676561
1993/9/1 18:00,2.111483194,2.111483194,2.111483194,2.111483194,2.111483194,129.6574419,353.6850592,348.23006,2.16996444,0.818574909,0.641093089,0.559890363,0.445658835,0.738134947,0.710855776,68.60250939,74.40920846,81.68256317,62.22469128,63.63101968,5.329150697,5.12485984,4.947888987,5.500257931,5.506109672
1993/9/1 21:00,2.340293458,2.340293458,2.340293458,2.340293458,2.340293458,131.0548654,354.7068415,351.9601148,1.851344144,2.603947257,0.626513103,0.547025754,0.433569202,0.722635418,0.694736266,68.23512064,74.34328682,82.01217139,61.52702055,62.99377712,5.383531007,5.200755155,5.025912209,5.54760384,5.541574773
1993/9/2 0:00,2.781281413,2.781281413,2.781281413,2.781281413,2.781281413,8.076116618,8.839016841,4.142114203,10.98695711,7.339304069,0.614985393,0.53927599,0.430004311,0.707600875,0.679701722,66.89926132,72.67876531,79.7708355,60.65355877,61.94452429,5.37374687,5.145074947,4.916147722,5.585728823,5.571365458
1993/9/2 3:00,2.904452361,2.904452361,2.904452361,2.904452361,2.904452361,119.6887732,8.525889998,5.290245959,3.048916981,357.1679086,0.609156784,0.537881032,0.434344179,0.696441214,0.670402005,64.44382266,68.60261033,73.8653549,59.84601863,60.87879105,5.314180651,5.054106964,4.756377443,5.580054407,5.538382914
1993/9/2 6:00,2,2,2,2,2,339.5614759,352.8500543,345.9502768,340.3689282,328.0361254,0.590059945,0.524241447,0.423184518,0.674276887,0.64653273,63.80777792,67.32812521,72.05800316,59.72516228,60.80188246,5.369341275,5.096487759,4.778365806,5.652048562,5.604525327
1993/9/2 9:00,2,2,2,2,2,300.8046422,325.9156524,315.9230607,299.4646743,279.8695261,0.566174255,0.506726979,0.407065008,0.647772693,0.617083625,64.10067567,67.4599685,72.25027462,60.02180968,61.23586662,5.436920215,5.167063309,4.839897755,5.724929344,5.669249136
1993/9/2 12:00,2,2,2,2,2,285.7057304,302.7167987,299.3383249,283.2754672,270.8877299,0.540602847,0.487972549,0.389240549,0.620028536,0.585309591,64.94003897,68.35540416,73.55222709,60.58214365,62.02692635,5.49295773,5.229659212,4.901075054,5.780254901,5.719432253
1993/9/2 15:00,2,2,2,2,2,252.7210462,258.1978526,255.610436,253.0120326,247.8536799,0.51446591,0.468288147,0.37079611,0.591354407,0.553535557,66.20177198,69.8111738,75.63425234,61.36770991,63.13660735,5.536499459,5.282856863,4.955336658,5.82050779,5.754542703
1993/9/2 18:00,2,2,2,2,2,268.1686222,272.8049451,277.5512888,263.8066685,264.1582495,0.492733875,0.448293755,0.352661661,0.567950118,0.530286263,67.71098618,71.67346024,78.27661157,62.26863904,64.34517082,5.518679278,5.326301612,5.001086638,5.785042689,5.682903199
1993/9/2 21:00,2,2,2,2,2,289.3135223,290.4444239,300.4754698,282.3470736,288.483261,0.46800972,0.428609353,0.334372217,0.540980938,0.501147149,69.46834521,73.78844631,81.27604637,63.33986575,65.80643393,5.525092512,5.349353927,5.035665111,5.779368273,5.674923552
1993/9/3 0:00,2,2,2,2,2,308.7110248,310.1604281,325.6849273,297.7781842,307.9081122,0.439884512,0.40567005,0.310192952,0.512151814,0.468598138,70.9203647,75.13984001,83.19876098,64.42757288,67.3665795,5.568803638,5.394926582,5.136208672,5.786106642,5.717836324
1993/9/3 3:00,2,2,2,2,2,327.3104055,323.5809347,343.80783,314.7090075,331.0465378,0.41699086,0.386450634,0.295158408,0.485492624,0.442558929,73.35515384,77.89756212,86.98376203,66.09209439,69.53650028,5.576480216,5.417269595,5.150926689,5.794972918,5.712516558
1993/9/3 6:00,2,2,2,2,2,267.9024335,298.9922373,317.7743544,249.5731308,238.6741193,0.395447972,0.367696204,0.280588851,0.460538383,0.418534659,76.27123121,81.08926837,91.29613624,68.18510658,72.23379421,5.581892541,5.435356796,5.161743544,5.801888612,5.706664817
1993/9/3 9:00,2,2,2,2,2,246.0877877,273.7168584,279.9134738,235.5373574,221.1115488,0.375428113,0.350181736,0.266949266,0.437289089,0.396370333,79.83619661,84.86328249,96.3006877,70.86042663,75.65073275,5.586456088,5.45060679,5.170609819,5.807917679,5.701699703
1993/9/3 12:00,2,2,2,2,2,226.5444479,249.6829998,248.8040473,221.1170423,206.1199145,0.357141559,0.333907231,0.254549643,0.415899739,0.37637594,84.15133119,89.30200651,102.0962989,74.22792394,79.89169184,5.590476321,5.463728877,5.179830746,5.812173491,5.697621216
1993/9/3 15:00,2,2,2,2,2,199.4349376,211.0805029,211.3936298,196.1492967,189.2165585,0.340965553,0.319182678,0.243544977,0.396835319,0.359016468,89.3475936,94.41093391,108.6005678,78.49635038,85.20937112,5.591904302,5.474191082,5.18834237,5.812350817,5.691237498
1993/9/3 18:00,2,2,2,2,2,220.7704285,227.6048107,227.2477362,219.199827,214.7666102,0.330364382,0.312982867,0.233935269,0.387225611,0.344601906,95.87366982,100.6350358,115.8464551,84.41281792,92.02676779,5.527429579,5.366022524,5.184441209,5.69035087,5.666589253
1993/9/3 21:00,2,2,2,2,2,265.8662259,270.7778608,276.765725,260.6094786,261.6312609,0.322719783,0.304923112,0.227890453,0.378390879,0.337317127,103.8905842,107.6172366,124.103141,91.81801592,101.0085918,5.432346805,5.298106857,5.13035693,5.578813129,5.547958491
1993/9/4 0:00,2,2,2,2,2,293.150516,288.9886587,303.2716375,284.714752,297.0750221,0.303858585,0.286168682,0.207431074,0.360721416,0.318252707,113.604866,117.4725223,135.7877524,100.3383884,110.5727236,5.581660463,5.474723058,5.424362615,5.643182287,5.674923552
1993/9/4 3:00,2,2,2,2,2,73.72126852,348.3344356,14.17316007,4.647511914,33.71337374,0.30053073,0.283378766,0.206346107,0.356226553,0.314377824,123.151546,125.1139396,143.0116659,110.6606191,121.79039,5.480323817,5.365313222,5.32399638,5.538028263,5.580763709
1993/9/4 6:00,2,2,2,2,2,122.3440804,158.5081541,145.6040321,95.31695991,114.9890165,0.305293577,0.282913781,0.206346107,0.361961378,0.323832537,132.4209759,133.634312,149.927945,121.2135756,131.6731431,5.281389137,5.252534202,5.223630145,5.30821441,5.30626383
