时间,汕尾风速,风速1,风速2,风速3,风速4,汕尾风向,风向1,风向2,风向3,风向4,汕尾波高,波高1,波高2,波高3,波高4,波浪方向,方向1,方向2,方向3,方向4,波浪周期,周期1,周期2,周期3,周期4
1993/2/1 0:00,6.208565849,6.208565849,6.208565849,6.208565849,6.208565849,42.22015114,40.4209032,37.27864543,44.7772151,43.75543198,1.287485128,1.138441004,0.717376535,1.605760773,1.412441866,63.96579867,68.0970801,73.94213276,58.98890593,60.43368869,5.378108241,5.305684344,4.97819423,5.614247709,5.437024513
1993/2/1 3:00,8.028897826,8.028897826,8.028897826,8.028897826,8.028897826,48.37446731,46.80430097,46.47469351,49.00717748,49.74879426,1.468668685,1.278972374,0.884743041,1.78001261,1.629594611,59.7348297,60.88964674,63.05407414,57.99458777,58.7526867,5.337979246,5.114505059,4.669248506,5.692057678,5.527834673
1993/2/1 6:00,7.562793447,7.562793447,7.562793447,7.562793447,7.562793447,53.96507222,53.6601361,55.23126498,53.00641464,54.25342952,1.573215124,1.376073195,1.002676402,1.872699758,1.740995735,60.60622581,61.4939285,63.41114972,59.10426882,59.85138081,5.516834657,5.273948583,4.862913121,5.853412994,5.724175798
1993/2/1 9:00,7.040179423,7.040179423,7.040179423,7.040179423,7.040179423,59.32196217,60.64232075,62.61447205,57.66486672,58.19223865,1.600113394,1.415972805,1.02068419,1.910657351,1.756178772,63.0705197,64.53181771,66.77864717,61.19728109,61.81804327,5.687563246,5.458627772,5.096725386,5.987620852,5.883619321
1993/2/1 12:00,6.437810651,6.437810651,6.437810651,6.437810651,6.437810651,59.51620661,60.77416374,62.14203469,58.27464051,58.43395078,1.628103658,1.439100455,0.99985165,1.969094391,1.787780676,65.42592683,67.68506981,70.14065114,63.20239784,63.47707137,5.874485593,5.690719423,5.370302942,6.135402439,6.031209729
1993/2/1 15:00,6.606137254,6.606137254,6.606137254,6.606137254,6.606137254,56.7067228,58.5877676,60.16438994,55.16534349,55.07744817,1.661362149,1.48800396,1.005324606,2.026825243,1.806847746,67.02161556,70.04726214,73.02472318,64.25165072,64.40546789,6.005711655,5.848059974,5.526687597,6.260242512,6.139608383
1993/2/1 18:00,6.613752029,6.613752029,6.613752029,6.613752029,6.613752029,51.89246236,53.11628379,54.20948186,50.84748579,50.83100542,1.682251336,1.533023431,1.015917423,2.064253195,1.805965012,67.7497207,71.49204489,75.34296775,64.21319642,64.5153373,6.10360395,5.97213533,5.630306769,6.364626401,6.214359484
1993/2/1 21:00,6.782078632,6.782078632,6.782078632,6.782078632,6.782078632,50.58186344,51.25400165,50.97932877,50.58929328,49.98501294,1.700639481,1.588282626,1.028099162,2.101504601,1.791311615,68.30329212,72.23915689,76.71084191,64.30109195,64.91086718,6.163408651,6.04420992,5.660321917,6.449127645,6.262727843
1993/2/2 0:00,6.746008646,6.746008646,6.746008646,6.746008646,6.746008646,49.56998623,48.76546535,48.02934202,50.26517928,50.27067274,1.712076854,1.628182236,1.038691979,2.124632251,1.777540953,68.96586063,72.73906271,77.39752573,64.88339983,65.71840735,6.236369108,6.136740694,5.699322491,6.552746817,6.317405118
1993/2/2 3:00,7.368015521,7.368015521,7.368015521,7.368015521,7.368015521,53.34123342,53.34700901,53.92931552,52.95697352,53.34151556,1.707530522,1.666316376,1.087595483,2.102210789,1.735169686,69.64751341,72.03040501,75.43635675,66.75667329,67.60816122,6.216250364,6.094298893,5.550393828,6.608953527,6.315493325
