时间,汕尾风速,风速1,风速2,风速3,风速4,汕尾风向,风向1,风向2,风向3,风向4,汕尾波高,波高1,波高2,波高3,波高4,波浪方向,方向1,方向2,方向3,方向4,波浪周期,周期1,周期2,周期3,周期4
1993/8/1 0:00,3.899698539,3.899698539,3.899698539,3.899698539,3.899698539,138.7951233,133.661131,111.643387,154.7175214,143.0109814,1.138672195,0.949352216,0.768952833,1.308282632,1.3022624,180.6491131,185.7724566,183.0916475,181.0755472,176.1094581,6.414281479,6.367659259,6.215135707,6.527712455,6.452995221
1993/8/1 3:00,4.856258071,4.856258071,4.856258071,4.856258071,4.856258071,145.4652983,139.813794,120.5262942,159.5407697,150.3392425,1.17511775,0.9858888,0.79926159,1.348555912,1.338798983,177.728205,181.9874617,178.9440842,178.6199699,173.9450343,6.266692204,6.119181017,5.978241532,6.398936241,6.394302614
1993/8/1 6:00,4.984910006,4.984910006,4.984910006,4.984910006,4.984910006,151.4367133,148.5978191,134.4357073,161.4415031,153.8495564,1.206632197,1.025124108,0.825418463,1.38675325,1.363295102,175.5084415,178.9001365,175.4777101,176.8840362,172.4782802,6.15296438,5.944454669,5.848693046,6.271318433,6.334837735
1993/8/1 9:00,5.915091264,5.915091264,5.915091264,5.915091264,5.915091264,159.5869909,157.5905953,147.3288324,166.907485,161.1997913,1.262919407,1.095498551,0.864030989,1.4604492,1.406682295,173.5696464,175.774357,172.071764,175.4447493,171.5773525,5.968666834,5.716634679,5.662961834,6.070721002,6.189264623
1993/8/1 12:00,5.098753085,5.098753085,5.098753085,5.098753085,5.098753085,167.2560252,166.7756422,159.5737304,172.1757026,167.5557119,1.320426484,1.175214733,0.903681486,1.538712223,1.444049256,173.7007151,174.9832985,171.0554737,175.9666281,172.5167344,5.894852259,5.626278955,5.58129416,5.995424565,6.13018588
1993/8/1 15:00,4.811368727,4.811368727,4.811368727,4.811368727,4.811368727,170.8595718,170.4507596,163.6553631,175.482759,171.1099735,1.355633894,1.228151261,0.949144622,1.574210836,1.463563113,175.0527673,176.04903,172.0937379,177.4114084,174.1208251,5.918004356,5.644427327,5.577239737,6.034617326,6.157408438
1993/8/1 18:00,4.165795167,4.165795167,4.165795167,4.165795167,4.165795167,172.5362487,178.2569508,172.9942266,174.5104185,167.4403495,1.359439232,1.244136016,0.98837993,1.559264051,1.457127692,176.5660443,177.6696011,173.7362828,178.8781626,175.5436316,5.979020457,5.691535867,5.603303888,6.113195915,6.230388062
1993/8/1 21:00,3.881650246,3.881650246,3.881650246,3.881650246,3.881650246,168.1592265,173.8566981,169.8245064,169.3191091,163.1060182,1.338663242,1.214865231,1.001250772,1.512970539,1.44425685,177.3430267,178.6639176,175.0162593,179.4110284,176.131432,6.020913662,5.766446169,5.653115377,6.163200472,6.242744401
1993/8/2 0:00,4.048249874,4.048249874,4.048249874,4.048249874,4.048249874,165.9632295,168.6379214,164.4958608,168.0006813,163.556481,1.305071293,1.169194501,0.988172336,1.460864388,1.421836674,177.3872281,178.6529307,175.3403735,179.2462245,176.2303143,6.035692604,5.820505149,5.689219054,6.179418166,6.222858418
1993/8/2 3:00,4.980745015,4.980745015,4.980745015,4.980745015,4.980745015,177.7183068,179.4984703,175.9551956,179.5973524,176.1035187,1.273688237,1.138470556,0.968658479,1.421836674,1.390074757,177.4860436,178.4167119,175.2964258,179.3121461,176.62035,6.004672282,5.791158845,5.673194427,6.139066999,6.190616098
